Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q182000,0.02,518.35,0.00,20.49,55.16,1.13,1.00,7.71,376.51,1.75,0.00,138240.00
q183000,0.03,524.55,0.00,20.77,55.63,1.15,1.00,7.80,375.66,1.76,0.00,138990.00
q184000,0.02,532.35,0.00,21.14,55.67,1.18,1.00,7.88,372.87,1.77,0.00,139727.00
q185000,0.03,541.75,0.00,21.33,54.96,1.17,1.00,7.97,373.62,1.78,0.00,140481.00
q186000,0.02,547.70,0.00,21.63,55.53,1.20,1.00,8.06,372.67,1.79,0.00,141241.00
q187000,0.03,553.38,0.00,21.68,53.90,1.17,1.00,8.14,375.55,1.80,0.00,141985.00
q188000,0.03,573.11,0.00,21.94,54.00,1.19,1.00,8.23,375.20,1.81,0.00,142735.00
q189000,0.03,571.30,0.00,22.22,53.69,1.19,1.00,8.32,374.59,1.82,0.00,143499.00
q190000,0.05,579.13,0.00,22.62,53.72,1.22,1.00,8.41,371.60,1.82,0.00,144241.00
q191000,0.03,591.53,0.00,22.82,52.88,1.21,1.00,8.50,372.30,1.83,0.00,144970.00
q192000,0.03,595.51,0.00,22.36,53.89,1.20,1.00,8.58,383.89,1.84,0.00,145731.00
q193000,0.06,599.87,0.00,22.54,53.86,1.21,1.00,8.68,384.80,1.85,0.00,146467.00
q194000,0.03,599.93,0.00,22.84,52.65,1.20,1.00,8.77,383.81,1.86,0.00,147219.00
q195000,0.03,614.71,0.00,23.79,52.10,1.24,1.00,8.85,372.20,1.87,0.00,147973.00
q196000,0.02,618.07,0.00,23.75,52.19,1.24,1.00,8.95,376.77,1.88,0.00,148698.00
q197000,0.03,629.72,0.00,24.20,52.38,1.27,1.00,9.04,373.53,1.89,0.00,149460.00
q198000,0.03,630.06,0.00,24.17,52.26,1.26,1.00,9.13,377.78,1.90,0.00,150234.00
q199000,0.03,642.10,0.00,24.54,51.98,1.28,1.00,9.22,375.85,1.91,0.00,150987.00
q200000,0.03,639.04,0.00,24.86,52.07,1.29,1.00,9.31,374.67,1.92,0.00,151730.00
q201000,0.03,655.82,0.00,25.13,52.01,1.31,1.00,9.41,374.38,1.93,0.00,152502.00
q202000,0.03,662.78,0.00,25.55,52.11,1.33,1.00,9.51,371.95,1.94,0.00,153255.00
q203000,0.02,675.46,0.00,25.41,52.27,1.33,1.00,9.60,377.58,1.95,0.00,154027.00
q204000,0.03,686.95,0.00,25.65,52.19,1.34,1.00,9.69,377.88,1.96,0.00,154786.00
q205000,0.03,687.50,0.00,25.97,51.99,1.35,1.00,9.79,377.01,1.97,0.00,155544.00
q206000,0.03,694.33,0.00,26.62,52.47,1.40,1.00,9.88,371.22,1.98,0.00,156277.00
q207000,0.06,708.43,0.00,26.92,51.25,1.38,1.00,9.98,370.74,1.99,0.00,157025.00
q208000,0.06,701.12,0.00,27.00,51.55,1.39,1.00,10.07,373.07,2.00,0.00,157799.00
q209000,0.03,717.91,0.00,27.31,51.80,1.42,1.00,10.17,372.48,2.01,0.00,158577.00
q210000,0.03,727.88,0.00,27.50,51.33,1.41,1.00,10.27,373.49,2.02,0.00,159343.00
q211000,0.03,730.74,0.00,28.00,51.50,1.44,1.00,10.37,370.30,2.03,0.00,160131.00
q212000,0.03,740.39,0.00,28.16,51.47,1.45,1.00,10.47,371.74,2.04,0.00,160889.00
q213000,0.05,765.10,0.00,28.62,51.48,1.47,1.00,10.57,369.24,2.05,0.00,161647.00
q214000,0.05,763.88,0.00,30.38,51.16,1.55,1.00,10.66,351.03,2.06,0.00,162406.00
